iter	Passed	Remaining
250	3326	9925
251	3336	9904
252	3347	9884
253	3358	9864
254	3369	9843
255	3382	9829
256	3393	9811
257	3405	9795
258	3417	9777
259	3428	9758
260	3439	9739
261	3450	9720
262	3461	9700
263	3473	9683
264	3485	9667
265	3496	9648
266	3508	9631
267	3520	9615
268	3532	9599
269	3548	9593
270	3559	9574
271	3571	9559
272	3583	9542
273	3594	9524
274	3618	9539
275	3629	9521
276	3640	9503
277	3653	9487
278	3664	9470
279	3676	9453
280	3687	9435
281	3699	9420
282	3711	9402
283	3722	9385
284	3734	9369
285	3748	9357
286	3759	9339
287	3771	9323
288	3782	9306
289	3794	9290
290	3806	9273
291	3818	9258
292	3830	9242
293	3841	9225
294	3853	9208
295	3865	9192
296	3876	9175
297	3887	9158
298	3899	9143
299	3912	9128
300	3924	9114
301	3935	9097
302	3947	9080
303	3958	9062
304	3971	9049
305	3984	9036
306	4006	9045
307	4042	9082
308	4056	9070
309	4072	9063
310	4087	9055
311	4107	9058
312	4121	9045
313	4136	9036
314	4150	9025
315	4165	9015
316	4180	9007
317	4195	8998
318	4211	8991
319	4226	8982
320	4242	8974
321	4257	8965
322	4273	8956
323	4287	8945
324	4302	8936
325	4316	8923
326	4330	8911
327	4345	8902
328	4358	8888
329	4370	8874
330	4383	8858
331	4393	8840
332	4418	8849
333	4429	8831
334	4440	8815
335	4452	8799
336	4465	8784
337	4476	8767
338	4488	8751
339	4499	8735
340	4511	8717
341	4522	8701
342	4533	8684
343	4546	8670
344	4557	8651
345	4567	8634
346	4579	8617
347	4590	8600
348	4601	8583
349	4612	8566
350	4623	8549
351	4634	8531
352	4645	8513
353	4656	8497
354	4668	8482
355	4680	8467
356	4692	8451
357	4704	8435
358	4715	8420
359	4728	8406
360	4740	8390
361	4751	8374
362	4763	8358
363	4774	8343
364	4786	8326
365	4809	8331
366	4820	8315
367	4832	8299
368	4844	8283
369	4855	8267
370	4867	8251
371	4878	8235
372	4889	8218
373	4900	8201
374	4910	8184
375	4921	8168
376	4932	8151
377	4943	8135
378	4954	8118
379	4966	8103
380	4977	8087
381	4989	8072
382	5001	8056
383	5012	8041
384	5024	8026
385	5035	8009
386	5048	7996
387	5060	7981
388	5072	7966
389	5083	7951
390	5095	7935
391	5107	7921
392	5118	7905
393	5129	7890
394	5141	7875
395	5153	7860
396	5164	7844
397	5176	7830
398	5188	7815
399	5202	7803
400	5228	7810
401	5240	7795
402	5252	7780
403	5263	7764
404	5275	7749
405	5286	7733
